symbol,exchange,date_or_range,missing_data,all_sources_attempted,HTTP/error,why_unresolved,would_excluding_it_bias_research,recommended_resolution
6107,TPEx,2018-06-27,listing_date_or_verified_research_start_boundary,exchange OpenAPI; official full-market tables; existing official lifecycle records,sources reachable; no authoritative listing boundary returned,no exact official lifecycle start evidence,True,obtain archived MOPS/TWSE/TPEx lifecycle record; do not exclude
1101,TWSE,2018-03-31:2018-03-31,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1102,TWSE,2026-08-20:2026-08-20,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1103,TWSE,2018-03-31:2018-03-31,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1103,TWSE,2018-12-22:2018-12-22,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1103,TWSE,2019-09-09:2019-09-09,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1103,TWSE,2021-04-06:2021-04-06,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1103,TWSE,2025-08-01:2025-08-01,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1103,TWSE,2026-08-20:2026-08-20,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1104,TWSE,2018-03-31:2018-03-31,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1104,TWSE,2018-12-22:2018-12-22,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1104,TWSE,2019-09-09:2019-09-09,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1104,TWSE,2021-04-06:2021-04-06,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1104,TWSE,2025-08-01:2025-08-01,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1104,TWSE,2026-08-20:2026-08-20,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1108,TWSE,2018-03-31:2018-03-31,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1108,TWSE,2018-12-22:2018-12-22,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1108,TWSE,2019-09-09:2019-09-09,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1108,TWSE,2021-04-06:2021-04-06,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1108,TWSE,2025-08-01:2025-08-01,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1108,TWSE,2026-08-20:2026-08-20,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1109,TWSE,2018-03-31:2018-03-31,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1109,TWSE,2018-12-22:2018-12-22,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1109,TWSE,2019-09-09:2019-09-09,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1109,TWSE,2021-04-06:2021-04-06,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1109,TWSE,2025-08-01:2025-08-01,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1109,TWSE,2026-08-20:2026-08-20,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1110,TWSE,2018-03-31:2018-03-31,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1110,TWSE,2018-12-22:2018-12-22,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1110,TWSE,2019-09-09:2019-09-09,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1110,TWSE,2021-04-06:2021-04-06,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1110,TWSE,2025-08-01:2025-08-01,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1110,TWSE,2026-08-20:2026-08-20,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1201,TWSE,2018-03-31:2018-03-31,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1201,TWSE,2018-12-22:2018-12-22,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1201,TWSE,2019-09-09:2019-09-09,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1201,TWSE,2021-04-06:2021-04-06,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1201,TWSE,2025-08-01:2025-08-01,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1201,TWSE,2026-08-20:2026-08-20,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1203,TWSE,2018-03-31:2018-03-31,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1203,TWSE,2018-12-22:2018-12-22,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1203,TWSE,2019-09-09:2019-09-09,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1203,TWSE,2021-04-06:2021-04-06,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1203,TWSE,2025-08-01:2025-08-01,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1203,TWSE,2026-08-20:2026-08-20,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1210,TWSE,2018-03-31:2018-03-31,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1210,TWSE,2018-12-22:2018-12-22,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1210,TWSE,2019-09-09:2019-09-09,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1210,TWSE,2021-04-06:2021-04-06,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1210,TWSE,2025-08-01:2025-08-01,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1210,TWSE,2026-08-20:2026-08-20,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1213,TWSE,2018-03-31:2018-03-31,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1213,TWSE,2018-12-22:2018-12-22,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1213,TWSE,2019-09-09:2019-09-09,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1213,TWSE,2021-04-06:2021-04-06,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1213,TWSE,2025-08-01:2025-08-01,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1213,TWSE,2026-08-20:2026-08-20,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1215,TWSE,2018-03-31:2018-03-31,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1215,TWSE,2018-12-22:2018-12-22,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1215,TWSE,2019-09-09:2019-09-09,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1215,TWSE,2021-04-06:2021-04-06,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1215,TWSE,2025-08-01:2025-08-01,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1215,TWSE,2026-08-20:2026-08-20,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1216,TWSE,2018-03-31:2018-03-31,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1216,TWSE,2018-12-22:2018-12-22,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1216,TWSE,2019-09-09:2019-09-09,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1216,TWSE,2021-04-06:2021-04-06,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1216,TWSE,2025-08-01:2025-08-01,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1216,TWSE,2026-08-20:2026-08-20,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1217,TWSE,2018-03-31:2018-03-31,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1217,TWSE,2018-12-22:2018-12-22,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1217,TWSE,2019-09-09:2019-09-09,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1217,TWSE,2021-04-06:2021-04-06,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1217,TWSE,2025-08-01:2025-08-01,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1217,TWSE,2026-08-20:2026-08-20,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1218,TWSE,2018-03-31:2018-03-31,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1218,TWSE,2018-12-22:2018-12-22,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1218,TWSE,2019-09-09:2019-09-09,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1218,TWSE,2021-04-06:2021-04-06,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1218,TWSE,2025-08-01:2025-08-01,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1218,TWSE,2026-08-20:2026-08-20,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1219,TWSE,2018-03-31:2018-03-31,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1219,TWSE,2018-12-22:2018-12-22,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1219,TWSE,2019-09-09:2019-09-09,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1219,TWSE,2021-04-06:2021-04-06,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1219,TWSE,2025-08-01:2025-08-01,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1219,TWSE,2026-08-20:2026-08-20,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1220,TWSE,2018-03-31:2018-03-31,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1220,TWSE,2018-12-22:2018-12-22,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1220,TWSE,2019-09-09:2019-09-09,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1220,TWSE,2021-04-06:2021-04-06,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1220,TWSE,2025-08-01:2025-08-01,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1220,TWSE,2026-08-20:2026-08-20,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1225,TWSE,2018-03-31:2018-03-31,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1225,TWSE,2018-12-22:2018-12-22,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1225,TWSE,2019-09-09:2019-09-09,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1225,TWSE,2021-04-06:2021-04-06,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1225,TWSE,2025-08-01:2025-08-01,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1225,TWSE,2026-08-20:2026-08-20,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1227,TWSE,2018-03-31:2018-03-31,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1227,TWSE,2018-12-22:2018-12-22,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1227,TWSE,2019-09-09:2019-09-09,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1227,TWSE,2021-04-06:2021-04-06,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1227,TWSE,2025-08-01:2025-08-01,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1227,TWSE,2026-08-20:2026-08-20,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1229,TWSE,2018-03-31:2018-03-31,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1229,TWSE,2018-12-22:2018-12-22,D_MISSING_TRADED_BAR,existing exchange partitions; processed provider file; suspension ledger,official traded row exists,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1229,TWSE,2019-09-09:2019-09-09,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1229,TWSE,2021-04-06:2021-04-06,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1229,TWSE,2025-08-01:2025-08-01,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
1229,TWSE,2026-08-20:2026-08-20,F_UNKNOWN,existing exchange partitions; processed provider file; suspension ledger,official full-market coverage unavailable for this range,authoritative OHLC still requires targeted recovery,True,targeted official monthly/daily request; secondary requires independent cross-check
